> -L"Eastern_S2N"
119.711609351	32.2999377245
119.693510104	32.3188724769
119.652379593	32.3505287719
119.549745613	32.4163018073
119.493328091	32.5479859055
119.429524257	32.7724622805
119.422391584	32.7921759317
119.427805103	32.8061747018
119.412002762	32.8813105828
119.399849693	32.9722407029
119.399751208	32.9786568447
119.407718455	32.9875079811
119.411373683	32.9956326338
119.409275814	33.003487977
119.411955085	33.0209143717
119.400444534	33.0656666
119.365555799	33.1433797036
119.329500655	33.161752238
119.292826651	33.2499745589
119.133022029	33.474575142
118.97260045	33.5147152967
118.829290142	33.7262313567
118.767891205	33.787492513
118.658866463	33.8215374456
118.431386733	33.9457819747
118.221271993	34.0751192704
117.899822677	34.1989677275
117.643977952	34.2882838671
117.185883523	34.3611708716
117.152973907	34.4748200272
117.065164351	34.7052390874
117.061755295	34.7099380897
117.035267195	34.7363117133
117.010810851	34.7676785229
116.976289075	34.8765352687
116.820154991	35.0301124543
116.572891683	35.284219636
116.544562645	35.3961127821
116.403896318	35.5104612662
116.280831787	35.6364363783
116.227589407	35.7018578816
116.189248134	35.7269346697
116.176451048	35.7734895396
116.184497988	35.8501605028
116.178493498	35.9374740042
116.202203005	36.1099391359
116.075039102	36.2018275146
116.065946748	36.2131218378
116.068508955	36.2210097449
116.07712873	36.2282161499
116.081037344	36.2347194914
116.078863518	36.2473940317
116.070762675	36.2504642055
116.056062534	36.2541929648
116.058156879	36.2984669834
115.889109686	36.3054353831
115.842897095	36.3554502773
115.827196638	36.3714618598
115.817055322	36.406289796
115.810080593	36.4282554519
115.789130767	36.4655152825
115.786436604	36.5208643643
115.775373275	36.5400528674
115.772723641	36.5542028616
115.732828244	36.6116904595
115.708426671	36.6446633022
115.693463012	36.7016244332
115.688355655	36.7206187229
115.698836531	36.7372481628
115.710318329	36.751413391
115.726452896	36.7971512699
115.735959865	36.8260927
115.747470611	36.8591634297
115.751650646	36.8816453242
115.754620261	36.897739054
115.758317273	36.9048420374
115.76037936	36.9195021509
115.765256223	36.9331869393
115.770342714	36.9429061718
115.777487959	36.9456440506
115.782990392	36.9533620731
115.786575428	36.9602270955
115.791010162	36.9685143738
115.81286946	37.0292694109
115.862127198	37.0756634487
115.87941076	37.1276758147
115.908781304	37.2100207408
115.967356383	37.2942320026
115.981387628	37.3409354919
116.053747263	37.3649101752
116.627124405	38.7115450028
116.742005046	38.7878377458
116.832682637	38.8109957665
117.037343855	38.8108155881
117.182680562	38.7950563494
117.334653593	38.7682033356
