> -L"Eastern_S2N_Shandong"
116.204481421	36.1102135941
116.218017467	36.1279057335
116.222985753	36.1673596409
116.224965022	36.1730778334
116.262028299	36.1954169555
116.300052306	36.2271254544
116.331074106	36.2414459406
116.354782381	36.2729032036
116.369347236	36.2780163702
116.376911519	36.2838929699
116.395875649	36.3029689809
116.449117083	36.313279014
116.455885332	36.3180772018
116.473442819	36.3189812345
116.485539765	36.3196156572
116.492815485	36.3202612346
116.509327908	36.331868336
116.512082343	36.3363010065
116.526912346	36.345253955
116.546321125	36.3553884431
116.574074924	36.3606698032
116.586099048	36.3743637501
116.596870073	36.406705439
116.619530901	36.4201788697
116.629449283	36.4353316089
116.636556584	36.4574379861
116.650736706	36.4809774644
116.655584438	36.4854297205
116.662760481	36.5191724256
116.674081551	36.5399649545
116.698414025	36.5703928648
116.700811582	36.5717433692
116.734475729	36.5808787289
116.742395121	36.5925742921
116.768128214	36.6069819625
116.782195995	36.622314468
116.792358658	36.635155537
116.811239463	36.6361953658
116.820898179	36.6423459791
116.8214378	36.6457463027
116.834344464	36.6697709543
116.839082849	36.6794818151
116.850893561	36.6846147841
116.902400432	36.6926577348
116.9258686	36.6960528092
116.941464418	36.6912336607
116.960199766	36.6938157727
116.972555989	36.6979244133
116.981042547	36.7054804046
117.032605814	36.7011873837
117.065654303	36.7154450978
117.097998012	36.7379649661
117.121828169	36.7620204729
117.147647929	36.7748127404
117.177495728	36.7791700332
117.242993698	36.8483426362
117.352845763	36.9044349173
117.456328762	37.0155488417
117.608866546	37.0931040346
117.795804685	37.0721668803
118.054890931	37.1174415447
118.345793602	37.1347454239
118.627241754	37.1525142388
